STORAGE_GEN_TPS_1,STORAGE_GEN_TPS_2,StateOfCharge
Oahu_Battery_Bulk,4508091002,762.8424548218685
Oahu_Battery_Bulk,4508091004,470.57905695506315
Oahu_Battery_Bulk,4508091006,0.0
Oahu_Battery_Bulk,4508091008,879.8053016076761
Oahu_Battery_Bulk,4508091010,1562.0236766598728
Oahu_Battery_Bulk,4508091012,2777.576767882667
Oahu_Battery_Bulk,4508091014,3993.129859105461
Oahu_Battery_Bulk,4508091016,5208.682950328255
Oahu_Battery_Bulk,4508091018,4157.2308125147765
Oahu_Battery_Bulk,4508091020,2806.6162667116723
Oahu_Battery_Bulk,4508091022,1708.1304397052413
Oahu_Battery_Bulk,4508112200,416.6111495477918
Oahu_Battery_Bulk,4508112202,151.47843866804595
Oahu_Battery_Bulk,4508112204,151.47843866804595
Oahu_Battery_Bulk,4508112206,0.0
Oahu_Battery_Bulk,4508112208,0.0
Oahu_Battery_Bulk,4508112210,144.32701516999165
Oahu_Battery_Bulk,4508112212,518.7661275120192
Oahu_Battery_Bulk,4508112214,1239.540936434812
Oahu_Battery_Bulk,4508112216,1239.540936434812
Oahu_Battery_Bulk,4508112218,783.0957130904724
Oahu_Battery_Bulk,4508112220,416.6111495477918
Oahu_Battery_Bulk,4508112222,416.6111495477918
Oahu_Battery_Conting,2007011200,0.0
Oahu_Battery_Conting,2007011202,0.0
Oahu_Battery_Conting,2007011204,0.0
Oahu_Battery_Conting,2007011206,0.0
Oahu_Battery_Conting,2007011208,0.0
Oahu_Battery_Conting,2007011210,0.0
Oahu_Battery_Conting,2007011212,0.0
Oahu_Battery_Conting,2007011214,0.0
Oahu_Battery_Conting,2007011216,0.0
Oahu_Battery_Conting,2007011218,0.0
Oahu_Battery_Conting,2007011220,0.0
Oahu_Battery_Conting,2007011222,0.0
Oahu_Battery_Conting,2007011900,0.0
Oahu_Battery_Conting,2007011902,0.0
Oahu_Battery_Conting,2007011904,0.0
Oahu_Battery_Conting,2007011906,0.0
Oahu_Battery_Conting,2007011908,0.0
Oahu_Battery_Conting,2007011910,0.0
Oahu_Battery_Conting,2007011912,0.0
Oahu_Battery_Conting,2007011914,0.0
Oahu_Battery_Conting,2007011916,0.0
Oahu_Battery_Conting,2007011918,0.0
Oahu_Battery_Conting,2007011920,0.0
Oahu_Battery_Conting,2007011922,0.0
Oahu_Battery_Conting,2007021200,0.0
Oahu_Battery_Conting,2007021202,0.0
Oahu_Battery_Conting,2007021204,0.0
Oahu_Battery_Conting,2007021206,0.0
Oahu_Battery_Conting,2007021208,0.0
Oahu_Battery_Conting,2007021210,0.0
Oahu_Battery_Conting,2007021212,0.0
Oahu_Battery_Conting,2007021214,0.0
Oahu_Battery_Conting,2007021216,0.0
Oahu_Battery_Conting,2007021218,0.0
Oahu_Battery_Conting,2007021220,0.0
Oahu_Battery_Conting,2007021222,0.0
Oahu_Battery_Conting,2007050200,0.0
Oahu_Battery_Conting,2007050202,0.0
Oahu_Battery_Conting,2007050204,0.0
Oahu_Battery_Conting,2007050206,0.0
Oahu_Battery_Conting,2007050208,0.0
Oahu_Battery_Conting,2007050210,0.0
Oahu_Battery_Conting,2007050212,0.0
Oahu_Battery_Conting,2007050214,0.0
Oahu_Battery_Conting,2007050216,0.0
Oahu_Battery_Conting,2007050218,0.0
Oahu_Battery_Conting,2007050220,0.0
Oahu_Battery_Conting,2007050222,0.0
Oahu_Battery_Conting,2007092200,0.0
Oahu_Battery_Conting,2007092202,0.0
Oahu_Battery_Conting,2007092204,0.0
Oahu_Battery_Conting,2007092206,0.0
Oahu_Battery_Conting,2007092208,0.0
Oahu_Battery_Conting,2007092210,0.0
Oahu_Battery_Conting,2007092212,0.0
Oahu_Battery_Conting,2007092214,0.0
Oahu_Battery_Conting,2007092216,0.0
Oahu_Battery_Conting,2007092218,0.0
Oahu_Battery_Conting,2007092220,0.0
Oahu_Battery_Conting,2007092222,0.0
Oahu_Battery_Conting,2007102700,0.0
Oahu_Battery_Conting,2007102702,0.0
Oahu_Battery_Conting,2007102704,0.0
Oahu_Battery_Conting,2007102706,0.0
Oahu_Battery_Conting,2007102708,0.0
Oahu_Battery_Conting,2007102710,0.0
Oahu_Battery_Conting,2007102712,0.0
Oahu_Battery_Conting,2007102714,0.0
Oahu_Battery_Conting,2007102716,0.0
Oahu_Battery_Conting,2007102718,0.0
Oahu_Battery_Conting,2007102720,0.0
Oahu_Battery_Conting,2007102722,0.0
Oahu_Battery_Conting,2007121500,0.0
Oahu_Battery_Conting,2007121502,0.0
Oahu_Battery_Conting,2007121504,0.0
Oahu_Battery_Conting,2007121506,0.0
Oahu_Battery_Conting,2007121508,0.0
Oahu_Battery_Conting,2007121510,0.0
Oahu_Battery_Conting,2007121512,0.0
Oahu_Battery_Conting,2007121514,0.0
Oahu_Battery_Conting,2007121516,0.0
Oahu_Battery_Conting,2007121518,0.0
Oahu_Battery_Conting,2007121520,0.0
Oahu_Battery_Conting,2007121522,0.0
Oahu_Battery_Conting,2008022000,0.0
Oahu_Battery_Conting,2008022002,0.0
Oahu_Battery_Conting,2008022004,0.0
Oahu_Battery_Conting,2008022006,0.0
Oahu_Battery_Conting,2008022008,0.0
Oahu_Battery_Conting,2008022010,0.0
Oahu_Battery_Conting,2008022012,0.0
Oahu_Battery_Conting,2008022014,0.0
Oahu_Battery_Conting,2008022016,0.0
Oahu_Battery_Conting,2008022018,0.0
Oahu_Battery_Conting,2008022020,0.0
Oahu_Battery_Conting,2008022022,0.0
Oahu_Battery_Conting,2008041000,0.0
Oahu_Battery_Conting,2008041002,0.0
Oahu_Battery_Conting,2008041004,0.0
Oahu_Battery_Conting,2008041006,0.0
Oahu_Battery_Conting,2008041008,0.0
Oahu_Battery_Conting,2008041010,0.0
Oahu_Battery_Conting,2008041012,0.0
Oahu_Battery_Conting,2008041014,0.0
Oahu_Battery_Conting,2008041016,0.0
Oahu_Battery_Conting,2008041018,0.0
Oahu_Battery_Conting,2008041020,0.0
Oahu_Battery_Conting,2008041022,0.0
Oahu_Battery_Conting,2008061700,0.0
Oahu_Battery_Conting,2008061702,0.0
Oahu_Battery_Conting,2008061704,0.0
Oahu_Battery_Conting,2008061706,0.0
Oahu_Battery_Conting,2008061708,0.0
Oahu_Battery_Conting,2008061710,0.0
Oahu_Battery_Conting,2008061712,0.0
Oahu_Battery_Conting,2008061714,0.0
Oahu_Battery_Conting,2008061716,0.0
Oahu_Battery_Conting,2008061718,0.0
Oahu_Battery_Conting,2008061720,0.0
Oahu_Battery_Conting,2008061722,0.0
Oahu_Battery_Conting,2008081800,0.0
Oahu_Battery_Conting,2008081802,0.0
Oahu_Battery_Conting,2008081804,0.0
Oahu_Battery_Conting,2008081806,0.0
Oahu_Battery_Conting,2008081808,0.0
Oahu_Battery_Conting,2008081810,0.0
Oahu_Battery_Conting,2008081812,0.0
Oahu_Battery_Conting,2008081814,0.0
Oahu_Battery_Conting,2008081816,0.0
Oahu_Battery_Conting,2008081818,0.0
Oahu_Battery_Conting,2008081820,0.0
Oahu_Battery_Conting,2008081822,0.0
Oahu_Battery_Conting,2008091000,0.0
Oahu_Battery_Conting,2008091002,0.0
Oahu_Battery_Conting,2008091004,0.0
Oahu_Battery_Conting,2008091006,0.0
Oahu_Battery_Conting,2008091008,0.0
Oahu_Battery_Conting,2008091010,0.0
Oahu_Battery_Conting,2008091012,0.0
Oahu_Battery_Conting,2008091014,0.0
Oahu_Battery_Conting,2008091016,0.0
Oahu_Battery_Conting,2008091018,0.0
Oahu_Battery_Conting,2008091020,0.0
Oahu_Battery_Conting,2008091022,0.0
Oahu_Battery_Conting,2008112200,0.0
Oahu_Battery_Conting,2008112202,0.0
Oahu_Battery_Conting,2008112204,0.0
Oahu_Battery_Conting,2008112206,0.0
Oahu_Battery_Conting,2008112208,0.0
Oahu_Battery_Conting,2008112210,0.0
Oahu_Battery_Conting,2008112212,0.0
Oahu_Battery_Conting,2008112214,0.0
Oahu_Battery_Conting,2008112216,0.0
Oahu_Battery_Conting,2008112218,0.0
Oahu_Battery_Conting,2008112220,0.0
Oahu_Battery_Conting,2008112222,0.0
Oahu_Battery_Conting,2107011200,0.0
Oahu_Battery_Conting,2107011202,0.0
Oahu_Battery_Conting,2107011204,0.0
Oahu_Battery_Conting,2107011206,0.0
Oahu_Battery_Conting,2107011208,0.0
Oahu_Battery_Conting,2107011210,0.0
Oahu_Battery_Conting,2107011212,0.0
Oahu_Battery_Conting,2107011214,0.0
Oahu_Battery_Conting,2107011216,0.0
Oahu_Battery_Conting,2107011218,0.0
Oahu_Battery_Conting,2107011220,0.0
Oahu_Battery_Conting,2107011222,0.0
Oahu_Battery_Conting,2107011900,0.0
Oahu_Battery_Conting,2107011902,0.0
Oahu_Battery_Conting,2107011904,0.0
Oahu_Battery_Conting,2107011906,0.0
Oahu_Battery_Conting,2107011908,0.0
Oahu_Battery_Conting,2107011910,0.0
Oahu_Battery_Conting,2107011912,0.0
Oahu_Battery_Conting,2107011914,0.0
Oahu_Battery_Conting,2107011916,0.0
Oahu_Battery_Conting,2107011918,0.0
Oahu_Battery_Conting,2107011920,0.0
Oahu_Battery_Conting,2107011922,0.0
Oahu_Battery_Conting,2107021200,0.0
Oahu_Battery_Conting,2107021202,0.0
Oahu_Battery_Conting,2107021204,0.0
Oahu_Battery_Conting,2107021206,0.0
Oahu_Battery_Conting,2107021208,0.0
Oahu_Battery_Conting,2107021210,0.0
Oahu_Battery_Conting,2107021212,0.0
Oahu_Battery_Conting,2107021214,0.0
Oahu_Battery_Conting,2107021216,0.0
Oahu_Battery_Conting,2107021218,0.0
Oahu_Battery_Conting,2107021220,0.0
Oahu_Battery_Conting,2107021222,0.0
Oahu_Battery_Conting,2107050200,0.0
Oahu_Battery_Conting,2107050202,0.0
Oahu_Battery_Conting,2107050204,0.0
Oahu_Battery_Conting,2107050206,0.0
Oahu_Battery_Conting,2107050208,0.0
Oahu_Battery_Conting,2107050210,0.0
Oahu_Battery_Conting,2107050212,0.0
Oahu_Battery_Conting,2107050214,0.0
Oahu_Battery_Conting,2107050216,0.0
Oahu_Battery_Conting,2107050218,0.0
Oahu_Battery_Conting,2107050220,0.0
Oahu_Battery_Conting,2107050222,0.0
Oahu_Battery_Conting,2107092200,0.0
Oahu_Battery_Conting,2107092202,0.0
Oahu_Battery_Conting,2107092204,0.0
Oahu_Battery_Conting,2107092206,0.0
Oahu_Battery_Conting,2107092208,0.0
Oahu_Battery_Conting,2107092210,0.0
Oahu_Battery_Conting,2107092212,0.0
Oahu_Battery_Conting,2107092214,0.0
Oahu_Battery_Conting,2107092216,0.0
Oahu_Battery_Conting,2107092218,0.0
Oahu_Battery_Conting,2107092220,0.0
Oahu_Battery_Conting,2107092222,0.0
Oahu_Battery_Conting,2107102700,0.0
Oahu_Battery_Conting,2107102702,0.0
Oahu_Battery_Conting,2107102704,0.0
Oahu_Battery_Conting,2107102706,0.0
Oahu_Battery_Conting,2107102708,0.0
Oahu_Battery_Conting,2107102710,0.0
Oahu_Battery_Conting,2107102712,0.0
Oahu_Battery_Conting,2107102714,0.0
Oahu_Battery_Conting,2107102716,0.0
Oahu_Battery_Conting,2107102718,0.0
Oahu_Battery_Conting,2107102720,0.0
Oahu_Battery_Conting,2107102722,0.0
Oahu_Battery_Conting,2107121500,0.0
Oahu_Battery_Conting,2107121502,0.0
Oahu_Battery_Conting,2107121504,0.0
Oahu_Battery_Conting,2107121506,0.0
Oahu_Battery_Conting,2107121508,0.0
Oahu_Battery_Conting,2107121510,0.0
Oahu_Battery_Conting,2107121512,0.0
Oahu_Battery_Conting,2107121514,0.0
Oahu_Battery_Conting,2107121516,0.0
Oahu_Battery_Conting,2107121518,0.0
Oahu_Battery_Conting,2107121520,0.0
Oahu_Battery_Conting,2107121522,0.0
Oahu_Battery_Conting,2108022000,0.0
Oahu_Battery_Conting,2108022002,0.0
Oahu_Battery_Conting,2108022004,0.0
Oahu_Battery_Conting,2108022006,0.0
Oahu_Battery_Conting,2108022008,0.0
Oahu_Battery_Conting,2108022010,0.0
Oahu_Battery_Conting,2108022012,0.0
Oahu_Battery_Conting,2108022014,0.0
Oahu_Battery_Conting,2108022016,0.0
Oahu_Battery_Conting,2108022018,0.0
Oahu_Battery_Conting,2108022020,0.0
Oahu_Battery_Conting,2108022022,0.0
Oahu_Battery_Conting,2108041000,0.0
Oahu_Battery_Conting,2108041002,0.0
Oahu_Battery_Conting,2108041004,0.0
Oahu_Battery_Conting,2108041006,0.0
Oahu_Battery_Conting,2108041008,0.0
Oahu_Battery_Conting,2108041010,0.0
Oahu_Battery_Conting,2108041012,0.0
Oahu_Battery_Conting,2108041014,0.0
Oahu_Battery_Conting,2108041016,0.0
Oahu_Battery_Conting,2108041018,0.0
Oahu_Battery_Conting,2108041020,0.0
Oahu_Battery_Conting,2108041022,0.0
Oahu_Battery_Conting,2108061700,0.0
Oahu_Battery_Conting,2108061702,0.0
Oahu_Battery_Conting,2108061704,0.0
Oahu_Battery_Conting,2108061706,0.0
Oahu_Battery_Conting,2108061708,0.0
Oahu_Battery_Conting,2108061710,0.0
Oahu_Battery_Conting,2108061712,0.0
Oahu_Battery_Conting,2108061714,0.0
Oahu_Battery_Conting,2108061716,0.0
Oahu_Battery_Conting,2108061718,0.0
Oahu_Battery_Conting,2108061720,0.0
Oahu_Battery_Conting,2108061722,0.0
Oahu_Battery_Conting,2108081800,0.0
Oahu_Battery_Conting,2108081802,0.0
Oahu_Battery_Conting,2108081804,0.0
Oahu_Battery_Conting,2108081806,0.0
Oahu_Battery_Conting,2108081808,0.0
Oahu_Battery_Conting,2108081810,0.0
Oahu_Battery_Conting,2108081812,0.0
Oahu_Battery_Conting,2108081814,0.0
Oahu_Battery_Conting,2108081816,0.0
Oahu_Battery_Conting,2108081818,0.0
Oahu_Battery_Conting,2108081820,0.0
Oahu_Battery_Conting,2108081822,0.0
Oahu_Battery_Conting,2108091000,0.0
Oahu_Battery_Conting,2108091002,0.0
Oahu_Battery_Conting,2108091004,0.0
Oahu_Battery_Conting,2108091006,0.0
Oahu_Battery_Conting,2108091008,0.0
Oahu_Battery_Conting,2108091010,0.0
Oahu_Battery_Conting,2108091012,0.0
Oahu_Battery_Conting,2108091014,0.0
Oahu_Battery_Conting,2108091016,0.0
Oahu_Battery_Conting,2108091018,0.0
Oahu_Battery_Conting,2108091020,0.0
Oahu_Battery_Conting,2108091022,0.0
Oahu_Battery_Conting,2108112200,0.0
Oahu_Battery_Conting,2108112202,0.0
Oahu_Battery_Conting,2108112204,0.0
Oahu_Battery_Conting,2108112206,0.0
Oahu_Battery_Conting,2108112208,0.0
Oahu_Battery_Conting,2108112210,0.0
Oahu_Battery_Conting,2108112212,0.0
Oahu_Battery_Conting,2108112214,0.0
Oahu_Battery_Conting,2108112216,0.0
Oahu_Battery_Conting,2108112218,0.0
Oahu_Battery_Conting,2108112220,0.0
Oahu_Battery_Conting,2108112222,0.0
Oahu_Battery_Conting,2207011200,0.0
Oahu_Battery_Conting,2207011202,0.0
Oahu_Battery_Conting,2207011204,0.0
Oahu_Battery_Conting,2207011206,0.0
Oahu_Battery_Conting,2207011208,0.0
Oahu_Battery_Conting,2207011210,0.0
Oahu_Battery_Conting,2207011212,0.0
Oahu_Battery_Conting,2207011214,0.0
Oahu_Battery_Conting,2207011216,0.0
Oahu_Battery_Conting,2207011218,0.0
Oahu_Battery_Conting,2207011220,0.0
Oahu_Battery_Conting,2207011222,0.0
Oahu_Battery_Conting,2207011900,0.0
Oahu_Battery_Conting,2207011902,0.0
Oahu_Battery_Conting,2207011904,0.0
Oahu_Battery_Conting,2207011906,0.0
Oahu_Battery_Conting,2207011908,0.0
Oahu_Battery_Conting,2207011910,0.0
Oahu_Battery_Conting,2207011912,0.0
Oahu_Battery_Conting,2207011914,0.0
Oahu_Battery_Conting,2207011916,0.0
Oahu_Battery_Conting,2207011918,0.0
Oahu_Battery_Conting,2207011920,0.0
Oahu_Battery_Conting,2207011922,0.0
Oahu_Battery_Conting,2207021200,0.0
Oahu_Battery_Conting,2207021202,0.0
Oahu_Battery_Conting,2207021204,0.0
Oahu_Battery_Conting,2207021206,0.0
Oahu_Battery_Conting,2207021208,0.0
Oahu_Battery_Conting,2207021210,0.0
Oahu_Battery_Conting,2207021212,0.0
Oahu_Battery_Conting,2207021214,0.0
Oahu_Battery_Conting,2207021216,0.0
Oahu_Battery_Conting,2207021218,0.0
Oahu_Battery_Conting,2207021220,0.0
Oahu_Battery_Conting,2207021222,0.0
Oahu_Battery_Conting,2207050200,0.0
Oahu_Battery_Conting,2207050202,0.0
Oahu_Battery_Conting,2207050204,0.0
Oahu_Battery_Conting,2207050206,0.0
Oahu_Battery_Conting,2207050208,0.0
Oahu_Battery_Conting,2207050210,0.0
Oahu_Battery_Conting,2207050212,0.0
Oahu_Battery_Conting,2207050214,0.0
Oahu_Battery_Conting,2207050216,0.0
Oahu_Battery_Conting,2207050218,0.0
Oahu_Battery_Conting,2207050220,0.0
Oahu_Battery_Conting,2207050222,0.0
Oahu_Battery_Conting,2207092200,0.0
Oahu_Battery_Conting,2207092202,0.0
Oahu_Battery_Conting,2207092204,0.0
Oahu_Battery_Conting,2207092206,0.0
Oahu_Battery_Conting,2207092208,0.0
Oahu_Battery_Conting,2207092210,0.0
Oahu_Battery_Conting,2207092212,0.0
Oahu_Battery_Conting,2207092214,0.0
Oahu_Battery_Conting,2207092216,0.0
Oahu_Battery_Conting,2207092218,0.0
Oahu_Battery_Conting,2207092220,0.0
Oahu_Battery_Conting,2207092222,0.0
Oahu_Battery_Conting,2207102700,0.0
Oahu_Battery_Conting,2207102702,0.0
Oahu_Battery_Conting,2207102704,0.0
Oahu_Battery_Conting,2207102706,0.0
Oahu_Battery_Conting,2207102708,0.0
Oahu_Battery_Conting,2207102710,0.0
Oahu_Battery_Conting,2207102712,0.0
Oahu_Battery_Conting,2207102714,0.0
Oahu_Battery_Conting,2207102716,0.0
Oahu_Battery_Conting,2207102718,0.0
Oahu_Battery_Conting,2207102720,0.0
Oahu_Battery_Conting,2207102722,0.0
Oahu_Battery_Conting,2207121500,0.0
Oahu_Battery_Conting,2207121502,0.0
Oahu_Battery_Conting,2207121504,0.0
Oahu_Battery_Conting,2207121506,0.0
Oahu_Battery_Conting,2207121508,0.0
Oahu_Battery_Conting,2207121510,0.0
Oahu_Battery_Conting,2207121512,0.0
Oahu_Battery_Conting,2207121514,0.0
Oahu_Battery_Conting,2207121516,0.0
Oahu_Battery_Conting,2207121518,0.0
Oahu_Battery_Conting,2207121520,0.0
Oahu_Battery_Conting,2207121522,0.0
Oahu_Battery_Conting,2208022000,0.0
Oahu_Battery_Conting,2208022002,0.0
Oahu_Battery_Conting,2208022004,0.0
Oahu_Battery_Conting,2208022006,0.0
Oahu_Battery_Conting,2208022008,0.0
Oahu_Battery_Conting,2208022010,0.0
Oahu_Battery_Conting,2208022012,0.0
Oahu_Battery_Conting,2208022014,0.0
Oahu_Battery_Conting,2208022016,0.0
Oahu_Battery_Conting,2208022018,0.0
Oahu_Battery_Conting,2208022020,0.0
Oahu_Battery_Conting,2208022022,0.0
Oahu_Battery_Conting,2208041000,0.0
Oahu_Battery_Conting,2208041002,0.0
Oahu_Battery_Conting,2208041004,0.0
Oahu_Battery_Conting,2208041006,0.0
Oahu_Battery_Conting,2208041008,0.0
Oahu_Battery_Conting,2208041010,0.0
Oahu_Battery_Conting,2208041012,0.0
Oahu_Battery_Conting,2208041014,0.0
Oahu_Battery_Conting,2208041016,0.0
Oahu_Battery_Conting,2208041018,0.0
Oahu_Battery_Conting,2208041020,0.0
Oahu_Battery_Conting,2208041022,0.0
Oahu_Battery_Conting,2208061700,0.0
Oahu_Battery_Conting,2208061702,0.0
Oahu_Battery_Conting,2208061704,0.0
Oahu_Battery_Conting,2208061706,0.0
Oahu_Battery_Conting,2208061708,0.0
Oahu_Battery_Conting,2208061710,0.0
Oahu_Battery_Conting,2208061712,0.0
Oahu_Battery_Conting,2208061714,0.0
Oahu_Battery_Conting,2208061716,0.0
Oahu_Battery_Conting,2208061718,0.0
Oahu_Battery_Conting,2208061720,0.0
Oahu_Battery_Conting,2208061722,0.0
Oahu_Battery_Conting,2208081800,0.0
Oahu_Battery_Conting,2208081802,0.0
Oahu_Battery_Conting,2208081804,0.0
Oahu_Battery_Conting,2208081806,0.0
Oahu_Battery_Conting,2208081808,0.0
Oahu_Battery_Conting,2208081810,0.0
Oahu_Battery_Conting,2208081812,0.0
Oahu_Battery_Conting,2208081814,0.0
Oahu_Battery_Conting,2208081816,0.0
Oahu_Battery_Conting,2208081818,0.0
Oahu_Battery_Conting,2208081820,0.0
Oahu_Battery_Conting,2208081822,0.0
Oahu_Battery_Conting,2208091000,0.0
Oahu_Battery_Conting,2208091002,0.0
Oahu_Battery_Conting,2208091004,0.0
Oahu_Battery_Conting,2208091006,0.0
Oahu_Battery_Conting,2208091008,0.0
Oahu_Battery_Conting,2208091010,0.0
Oahu_Battery_Conting,2208091012,0.0
Oahu_Battery_Conting,2208091014,0.0
Oahu_Battery_Conting,2208091016,0.0
Oahu_Battery_Conting,2208091018,0.0
Oahu_Battery_Conting,2208091020,0.0
Oahu_Battery_Conting,2208091022,0.0
Oahu_Battery_Conting,2208112200,0.0
Oahu_Battery_Conting,2208112202,0.0
Oahu_Battery_Conting,2208112204,0.0
Oahu_Battery_Conting,2208112206,0.0
Oahu_Battery_Conting,2208112208,0.0
Oahu_Battery_Conting,2208112210,0.0
Oahu_Battery_Conting,2208112212,0.0
Oahu_Battery_Conting,2208112214,0.0
Oahu_Battery_Conting,2208112216,0.0
Oahu_Battery_Conting,2208112218,0.0
Oahu_Battery_Conting,2208112220,0.0
Oahu_Battery_Conting,2208112222,0.0
Oahu_Battery_Conting,2307011200,0.0
Oahu_Battery_Conting,2307011202,0.0
Oahu_Battery_Conting,2307011204,0.0
Oahu_Battery_Conting,2307011206,0.0
Oahu_Battery_Conting,2307011208,0.0
Oahu_Battery_Conting,2307011210,0.0
Oahu_Battery_Conting,2307011212,0.0
Oahu_Battery_Conting,2307011214,0.0
Oahu_Battery_Conting,2307011216,0.0
Oahu_Battery_Conting,2307011218,0.0
Oahu_Battery_Conting,2307011220,0.0
Oahu_Battery_Conting,2307011222,0.0
Oahu_Battery_Conting,2307011900,0.0
Oahu_Battery_Conting,2307011902,0.0
Oahu_Battery_Conting,2307011904,0.0
Oahu_Battery_Conting,2307011906,0.0
Oahu_Battery_Conting,2307011908,0.0
Oahu_Battery_Conting,2307011910,0.0
Oahu_Battery_Conting,2307011912,0.0
Oahu_Battery_Conting,2307011914,0.0
Oahu_Battery_Conting,2307011916,0.0
Oahu_Battery_Conting,2307011918,0.0
Oahu_Battery_Conting,2307011920,0.0
Oahu_Battery_Conting,2307011922,0.0
Oahu_Battery_Conting,2307021200,0.0
Oahu_Battery_Conting,2307021202,0.0
Oahu_Battery_Conting,2307021204,0.0
Oahu_Battery_Conting,2307021206,0.0
Oahu_Battery_Conting,2307021208,0.0
Oahu_Battery_Conting,2307021210,0.0
Oahu_Battery_Conting,2307021212,0.0
Oahu_Battery_Conting,2307021214,0.0
Oahu_Battery_Conting,2307021216,0.0
Oahu_Battery_Conting,2307021218,0.0
Oahu_Battery_Conting,2307021220,0.0
Oahu_Battery_Conting,2307021222,0.0
Oahu_Battery_Conting,2307050200,0.0
Oahu_Battery_Conting,2307050202,0.0
Oahu_Battery_Conting,2307050204,0.0
Oahu_Battery_Conting,2307050206,0.0
Oahu_Battery_Conting,2307050208,0.0
Oahu_Battery_Conting,2307050210,0.0
Oahu_Battery_Conting,2307050212,0.0
Oahu_Battery_Conting,2307050214,0.0
Oahu_Battery_Conting,2307050216,0.0
Oahu_Battery_Conting,2307050218,0.0
Oahu_Battery_Conting,2307050220,0.0
Oahu_Battery_Conting,2307050222,0.0
Oahu_Battery_Conting,2307092200,0.0
Oahu_Battery_Conting,2307092202,0.0
Oahu_Battery_Conting,2307092204,0.0
Oahu_Battery_Conting,2307092206,0.0
Oahu_Battery_Conting,2307092208,0.0
Oahu_Battery_Conting,2307092210,0.0
Oahu_Battery_Conting,2307092212,0.0
Oahu_Battery_Conting,2307092214,0.0
Oahu_Battery_Conting,2307092216,0.0
Oahu_Battery_Conting,2307092218,0.0
Oahu_Battery_Conting,2307092220,0.0
Oahu_Battery_Conting,2307092222,0.0
Oahu_Battery_Conting,2307102700,0.0
Oahu_Battery_Conting,2307102702,0.0
Oahu_Battery_Conting,2307102704,0.0
Oahu_Battery_Conting,2307102706,0.0
Oahu_Battery_Conting,2307102708,0.0
Oahu_Battery_Conting,2307102710,0.0
Oahu_Battery_Conting,2307102712,0.0
Oahu_Battery_Conting,2307102714,0.0
Oahu_Battery_Conting,2307102716,0.0
Oahu_Battery_Conting,2307102718,0.0
Oahu_Battery_Conting,2307102720,0.0
Oahu_Battery_Conting,2307102722,0.0
Oahu_Battery_Conting,2307121500,0.0
Oahu_Battery_Conting,2307121502,0.0
Oahu_Battery_Conting,2307121504,0.0
Oahu_Battery_Conting,2307121506,0.0
Oahu_Battery_Conting,2307121508,0.0
Oahu_Battery_Conting,2307121510,0.0
Oahu_Battery_Conting,2307121512,0.0
Oahu_Battery_Conting,2307121514,0.0
Oahu_Battery_Conting,2307121516,0.0
Oahu_Battery_Conting,2307121518,0.0
Oahu_Battery_Conting,2307121520,0.0
Oahu_Battery_Conting,2307121522,0.0
Oahu_Battery_Conting,2308022000,0.0
Oahu_Battery_Conting,2308022002,0.0
Oahu_Battery_Conting,2308022004,0.0
Oahu_Battery_Conting,2308022006,0.0
Oahu_Battery_Conting,2308022008,0.0
Oahu_Battery_Conting,2308022010,0.0
Oahu_Battery_Conting,2308022012,0.0
Oahu_Battery_Conting,2308022014,0.0
Oahu_Battery_Conting,2308022016,0.0
Oahu_Battery_Conting,2308022018,0.0
Oahu_Battery_Conting,2308022020,0.0
Oahu_Battery_Conting,2308022022,0.0
Oahu_Battery_Conting,2308041000,0.0
Oahu_Battery_Conting,2308041002,0.0
Oahu_Battery_Conting,2308041004,0.0
Oahu_Battery_Conting,2308041006,0.0
Oahu_Battery_Conting,2308041008,0.0
Oahu_Battery_Conting,2308041010,0.0
